# First line is two numbers 
#     First value is '2', it means 'histogram mode'
#     Second value is 'Emin' of the histogram
# Other lines : 2 columns. 1) energy 2) Bin Width 2) frequency (nb divided by NbEvent)
# Number of bins = 1000
# Content below the first bin: 47
# Content above the last  bin: 0
# Number of events: 99994
2 0.01
0.472705 0.00109 14
0.473795 0.00109 5
0.474885 0.00109 10
0.475975 0.00109 4
0.477065 0.00109 8
0.478155 0.00109 5
0.479245 0.00109 4
0.480335 0.00109 6
0.481425 0.00109 8
0.482515 0.00109 7
0.483605 0.00109 3
0.484695 0.00109 9
0.485785 0.00109 8
0.486875 0.00109 4
0.487965 0.00109 7
0.489055 0.00109 4
0.490145 0.00109 5
0.491235 0.00109 9
0.492325 0.00109 6
0.493415 0.00109 9
0.494505 0.00109 10
0.495595 0.00109 9
0.496685 0.00109 5
0.497775 0.00109 10
0.498865 0.00109 10
0.499955 0.00109 5
0.501045 0.00109 10
0.502135 0.00109 4
0.503225 0.00109 4
0.504315 0.00109 6
0.505405 0.00109 5
0.506495 0.00109 9
0.507585 0.00109 10
0.508675 0.00109 6
0.509765 0.00109 5
0.510855 0.00109 8
0.511945 0.00109 6
0.513035 0.00109 7
0.514125 0.00109 4
0.515215 0.00109 4
0.516305 0.00109 7
0.517395 0.00109 3
0.518485 0.00109 7
0.519575 0.00109 9
0.520665 0.00109 8
0.521755 0.00109 6
0.522845 0.00109 7
0.523935 0.00109 7
0.525025 0.00109 7
0.526115 0.00109 5
0.527205 0.00109 7
0.528295 0.00109 7
0.529385 0.00109 10
0.530475 0.00109 9
0.531565 0.00109 6
0.532655 0.00109 5
0.533745 0.00109 5
0.534835 0.00109 9
0.535925 0.00109 8
0.537015 0.00109 4
0.538105 0.00109 11
0.539195 0.00109 8
0.540285 0.00109 5
0.541375 0.00109 9
0.542465 0.00109 8
0.543555 0.00109 10
0.544645 0.00109 7
0.545735 0.00109 5
0.546825 0.00109 4
0.547915 0.00109 7
